Frame,Time_s,Phase,Knee_deg,Arm_deg,Trunk_deg,Arm_AngVel_deg_s,COM_X_px,COM_Y_px
1,0.0,RUNUP,168.73,152.4,140.74,0,356,169
2,0.033,RUNUP,167.61,151.18,141.0,-36.5,356,169
3,0.067,RUNUP,166.92,150.8,141.9,-11.39,356,169
4,0.1,RUNUP,162.85,150.82,138.56,0.41,356,169
5,0.133,RUNUP,166.42,151.67,139.38,25.65,356,168
6,0.167,RUNUP,166.26,153.01,141.93,40.04,356,168
7,0.2,RUNUP,174.47,155.04,143.97,61.17,357,167
8,0.233,RUNUP,171.22,154.92,140.77,-3.72,357,167
9,0.267,RUNUP,171.35,156.61,140.53,50.57,358,166
10,0.3,RUNUP,172.59,159.79,142.47,95.56,359,166
11,0.333,RUNUP,175.3,159.47,145.37,-9.77,359,166
12,0.367,RUNUP,177.98,159.07,148.21,-11.83,360,166
13,0.4,RUNUP,178.97,158.23,151.04,-25.14,360,166
14,0.433,RUNUP,177.62,156.79,154.37,-43.15,361,167
15,0.467,RUNUP,177.45,157.14,156.42,10.34,361,167
16,0.5,RUNUP,178.3,155.3,157.36,-55.06,362,168
17,0.533,RUNUP,177.25,153.01,160.24,-68.7,363,168
18,0.567,RUNUP,176.37,153.33,164.93,9.42,363,169
19,0.6,RUNUP,178.57,154.42,166.3,32.7,363,169
20,0.633,RUNUP,177.65,153.34,166.64,-32.2,364,169
21,0.667,RUNUP,174.96,152.08,166.45,-38.07,365,169
22,0.7,RUNUP,172.17,150.93,166.65,-34.5,365,170
23,0.733,RUNUP,164.06,149.92,163.08,-30.24,366,170
24,0.767,RUNUP,155.13,150.83,159.13,27.42,366,170
25,0.8,RUNUP,147.41,151.13,155.49,9.01,366,170
26,0.833,RUNUP,136.81,150.83,149.57,-9.04,366,170
27,0.867,RUNUP,138.0,151.66,143.42,24.95,366,170
28,0.9,RUNUP,126.94,151.83,140.78,5.19,366,170
29,0.933,LOAD,123.99,151.37,139.71,-14.01,366,170
30,0.967,DELIVERY,120.15,152.49,136.94,33.55,366,170
31,1.0,DELIVERY,116.85,152.79,134.45,9.14,367,170
32,1.033,DELIVERY,113.56,151.9,129.86,-26.68,367,169
33,1.067,DELIVERY,113.67,152.44,126.07,16.3,367,169
34,1.1,DELIVERY,114.21,153.06,122.22,18.56,368,169
35,1.133,DELIVERY,116.53,153.38,119.82,9.56,369,168
36,1.167,DELIVERY,119.47,153.43,116.06,1.44,370,168
37,1.2,DELIVERY,125.94,150.93,115.67,-74.98,371,168
38,1.233,DELIVERY,131.66,140.4,114.65,-315.88,373,168
39,1.267,DELIVERY,137.84,143.48,113.79,92.33,374,168
40,1.3,DELIVERY,144.85,178.17,115.32,1040.65,375,168
41,1.333,DELIVERY,150.49,95.79,115.57,-2471.19,377,168
42,1.367,DELIVERY,157.54,119.52,118.13,711.61,378,168
43,1.4,DELIVERY,163.04,134.86,122.21,460.26,379,169
44,1.433,DELIVERY,169.2,137.47,126.48,78.31,381,169
45,1.467,DELIVERY,172.13,140.87,126.88,101.96,382,169
46,1.5,DELIVERY,172.57,140.39,126.66,-14.14,384,170
47,1.533,DELIVERY,173.83,143.58,129.68,95.44,385,170
48,1.567,DELIVERY,172.72,143.37,131.88,-6.24,386,171
49,1.6,DELIVERY,171.72,145.32,132.64,58.67,387,171
50,1.633,DELIVERY,171.33,112.77,133.9,-976.7,388,172
51,1.667,DELIVERY,168.3,137.99,132.94,756.71,388,172
52,1.7,DELIVERY,163.72,150.24,131.19,367.46,389,173
53,1.733,DELIVERY,158.8,150.56,130.75,9.68,389,173
54,1.767,DELIVERY,154.58,152.57,131.5,60.09,390,174
55,1.8,DELIVERY,152.6,156.35,131.75,113.67,390,174
56,1.833,DELIVERY,149.54,158.35,131.35,59.99,391,175
57,1.867,DELIVERY,147.36,158.58,131.67,6.9,391,175
58,1.9,DELIVERY,143.34,156.42,130.78,-64.89,392,176
59,1.933,DELIVERY,139.66,155.06,129.36,-40.84,393,176
60,1.967,DELIVERY,139.18,155.69,132.12,19.05,394,176
61,2.0,DELIVERY,144.63,155.85,133.95,4.7,395,176
62,2.033,DELIVERY,143.68,154.87,131.88,-29.36,396,176
63,2.067,DELIVERY,143.14,152.86,128.14,-60.27,396,176
64,2.1,DELIVERY,149.91,150.41,144.09,-73.58,397,175
65,2.133,DELIVERY,149.32,148.7,146.61,-51.34,398,175
66,2.167,DELIVERY,148.94,148.69,149.37,-0.26,399,175
67,2.2,DELIVERY,146.2,148.87,150.15,5.43,400,175
68,2.233,DELIVERY,144.74,146.51,152.25,-70.76,401,175
